"X18S_BL040126_022." "X18S_BL040223_022." "X18S_BL040322_022." "X18S_BL040419_022." "X18S_BL040525_022." "X18S_BL040628_022." "X18S_BL040719_022." "X18S_BL040831_022." "X18S_BL040929_022." "X18S_BL041019_022." "X18S_BL041116_022." "X18S_BL041214_022." "X18S_BL050120_022." "X18S_BL050215_022." "X18S_BL050309_022." "X18S_BL050413_022." "X18S_BL050510_022." "X18S_BL050607_022." "X18S_BL050705_022." "X18S_BL050803_022." "X18S_BL050913_022." "X18S_BL051004_022." "X18S_BL051108_022." "X18S_BL051213_022."
"OTU_1102" 0 0 0 5 0 0 0 0 0 0 81 0 0 0 0 0 0 0 0 0 0 0 26 32
"OTU_1103" 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 154
"OTU_1104" 20 0 0 0 0 0 0 0 0 0 24 7 5 99 0 0 0 0 0 0 30 0 0 13
"OTU_1105" 0 0 53 0 0 0 0 0 0 0 0 0 73 0 0 0 0 0 0 0 11 0 0 5
"OTU_1106" 0 0 0 0 0 98 0 0 0 0 127 0 0 0 0 0 0 0 0 0 0 0 0 35
"OTU_1107" 135 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1108" 82 0 2 0 0 0 0 0 0 0 67 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1109" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 121 0 0 0 0
"OTU_111" 0 0 2 0 0 0 0 3504 105 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43
"OTU_1110" 0 0 0 0 0 0 0 0 151 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
"OTU_1111" 0 0 0 0 0 0 0 0 180 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1112" 0 0 106 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 5 19 0 0
"OTU_1113" 0 0 0 0 0 180 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1114" 2 92 2 19 0 0 0 0 0 0 12 0 19 0 0 0 0 0 0 0 2 0 21 1
"OTU_1115" 0 0 0 0 0 0 0 139 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1116" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 122 0 0 0 0 0
"OTU_1117" 0 0 0 0 0 0 0 0 0 0 139 0 0 0 0 0 0 0 0 0 0 0 0 33
